id	parent_id	source_id	title	description
0		2	Diabetology	
1		2	Medicine	
2		2	Cardiology	
3		2	Dentistry	
4		2	Dermatology	
5		2	Diabetology	
6		2	ENT	
7		2	General medicine	
8		2	Gynaecology	
9		2	Internal medicine	
10		2	Neurology	
11		2	Oncology	
12		2	Ortopedics	
13		2	Pediatrics	
14		2	Psychiatry	
15		2	Radiology	
16		2	Surgery	
17		2	Urology	
18		2	Pharmaceutics	
19		2	Studies	
20	0	2	Health & Fitness	A blog providing Health related Useful information
21	0	2	Healthy Benefits	Healthy Benefits for Diabetology
22	0	2	Health Tips	
23	0	2	Health and Medical News	Get the latest news and articles about health, science and medicine. A look at the technology and science behind medical discoveries and treatments.
24	0	2	Pharma Industry News	Global pharmaceutical industry heavily relies on research projects for expanding its offerings among consumers. Continuous development of drug compounds, discovering new ones, establishing most effective routes of drug delivery after intensive clinical trials are
25	0	2	Research Reports	Future Market Insights (FMI) is a leading market intelligence and consulting firm. We deliver syndicated research reports, custom research reports and consulting services, which are personalized in nature.
26	0	2	Emerging Trends in Healthcare Industry	The healthcare information technology industry deals with the storage, management, and exchange of healthcare records between hospitals, laboratories, patients, insurance agencies, and government bodies. New advances in the information technology domain, coupled with
27	0	2	Medical Devices Industry	Medical Devices Industry Size, Share, Trends, Forecast, Growth, Opportunities By Big Market Research
28	0	2	Chronic Disease	Get to know all about chronic diseases, its effects and solutions!
29	0	2	Market Research Blog	
30	1	2	Dental Health Blog	Dental Health Blog is a useful blog where we share the information and news related to the dental care tips.
31	1	2	Finding the best medical care	Knowing how to get the best medical care is a world-wide concern. If your medical care is provided by the government, private insurance, or is fee for service, it is important to be able to know you and your family are receiving the best possible care. Far too many
32	1	2	The Hopeful Cancer Doc	Jennifer Lycette, MD, blogs at The Hopeful Cancer Doc, her personal blog on practicing oncology, maintaining hope in medicine, work-life balance, and various other musings. She started blogging with an idea to promote hope for physicians, both in our practices and our
33	1	2	Healthcare Tips	
34	1	2	Dental Health Blog - Dulwich Dental Clinic	Dental Health Blog is a useful Blog where we share the information and news on dental health.
35	1	2	Dental News Blog	Dental News Blog is a useful blog where I share dental health related information and news regularly.
36	1	2	Steven Curley, M.D., F.A.C.S. Professor and Chief of Surgical Oncology	
37	1	2	myIV.com	Welcome to myIV.com – where we provide answers to any questions related to IVs – from the most basic to complex. We are the resource to empower and inform patients and caregivers on IVs and IV therapy. Intravenous (IV) therapy is a routine part of treatment for
38	1	2	Nisha Mehta, MD	Musings about life in medicine and work life balance. The good, the bad, and the need to keep it all in perspective.
39	1	2	Natural health cure	
40	2	2	myIV.com	Welcome to myIV.com – where we provide answers to any questions related to IVs – from the most basic to complex. We are the resource to empower and inform patients and caregivers on IVs and IV therapy. Intravenous (IV) therapy is a routine part of treatment for
41	2	2	Tales of the Heart	A cardiology fellow's take on the world of medicine, particularly with regards to the doctor-patient relationship.
42	2	2	Living Healthy	A range of articles on health issues, dental care, the body and more.
43	2	2	Health blog	My first blog
44	2	2	Heart health	This blog talks about how small lifestyle changes can help improve our heart health & decrease the risk of heart issues.
45	2	2	Physician Wellness	In support of physician wellness at the personal, institutional and cultural levels in all stages of training and practice.
46	2	2	Pharma Industry News	Global pharmaceutical industry heavily relies on research projects for expanding its offerings among consumers. Continuous development of drug compounds, discovering new ones, establishing most effective routes of drug delivery after intensive clinical trials are
47	2	2	The Scientist Writer LLC	Welcome to my blog! I hope you’ll enjoy reading about the latest developments in food science/nutrition and medical research. This blog is here for informational purposes and will consist of short, thoroughly researched articles on a variety of medical and science
48	2	2	The Peek and Shriek Post	The Peek and Shriek Post is a healthcare blog founded by Mario Nacinovich. The blog offers original content and covers relevant and timely topics across the healthcare spectrum.
49	2	2	Pediatric Stories from Ukraine	I have created this blog to show interesting cases and studies what I meet in my routine everyday work. Here, in Ukraine, we have no modern technical support, but I think any specialist finds something interesting for him/her in my posts. Welcome and don't hesitate to
50	3	2	Dental Health Blog	Dental Health Blog is a useful blog where we share the information and news related to the dental care tips.
51	3	2	Dental Health Blog - Dulwich Dental Clinic	Dental Health Blog is a useful Blog where we share the information and news on dental health.
52	3	2	Dental News Blog	Dental News Blog is a useful blog where I share dental health related information and news regularly.
53	3	2	Living Healthy	A range of articles on health issues, dental care, the body and more.
54	3	2	Healthy Living For Everyone	Interesting information about medicine, modern technologies and researches in healthcare and healthy lifestyle tips
55	3	2	Broadway Family Dental	Broadway Family Dental 1152 Broadway Brooklyn, New York 11221 (718) 455-4400 https://www.broadwayfamilydentalpc.com
56	3	2	Health blog	My first blog
57	3	2	Dental Care	Our journal is helping people to understand about dental care and assist you improving your Smile.
58	3	2	Refadoc	
59	3	2	Smile Dentist UK Blogs	At Smile Dentist Clinic, London, our private expert dentist team offers cosmetic dentistry, facial aesthetics & Invisalign, etc.
60	4	2	Living Healthy	A range of articles on health issues, dental care, the body and more.
61	4	2	Healthy Living For Everyone	Interesting information about medicine, modern technologies and researches in healthcare and healthy lifestyle tips
62	4	2	Physician Wellness	In support of physician wellness at the personal, institutional and cultural levels in all stages of training and practice.
63	4	2	Pharma Industry News	Global pharmaceutical industry heavily relies on research projects for expanding its offerings among consumers. Continuous development of drug compounds, discovering new ones, establishing most effective routes of drug delivery after intensive clinical trials are
64	4	2	The Peek and Shriek Post	The Peek and Shriek Post is a healthcare blog founded by Mario Nacinovich. The blog offers original content and covers relevant and timely topics across the healthcare spectrum.
65	5	2	Physician Wellness	In support of physician wellness at the personal, institutional and cultural levels in all stages of training and practice.
66	5	2	Pharma Industry News	Global pharmaceutical industry heavily relies on research projects for expanding its offerings among consumers. Continuous development of drug compounds, discovering new ones, establishing most effective routes of drug delivery after intensive clinical trials are
67	6	2	Physician Wellness	In support of physician wellness at the personal, institutional and cultural levels in all stages of training and practice.
68	6	2	The Peek and Shriek Post	The Peek and Shriek Post is a healthcare blog founded by Mario Nacinovich. The blog offers original content and covers relevant and timely topics across the healthcare spectrum.
69	7	2	Healthylife	All About Healthy Life
70	7	2	Healthcare Tips	
71	7	2	myIV.com	Welcome to myIV.com – where we provide answers to any questions related to IVs – from the most basic to complex. We are the resource to empower and inform patients and caregivers on IVs and IV therapy. Intravenous (IV) therapy is a routine part of treatment for
72	7	2	Natural health cure	
73	7	2	Ejaz Elhak	
74	7	2	Healthy Living For Everyone	Interesting information about medicine, modern technologies and researches in healthcare and healthy lifestyle tips
75	7	2	Health tips	
76	7	2	INTERVENTIONAL PAIN CENTER	In spine and musculoskeletal cases, pain management serves with a variety of purposes. These are generally distinguished from surgical treatments. With pain management Henderson, you can identify the source of a patient’s back pain, determine the areas to be
77	7	2	Hirudotherapy - Positive Effects	If you consult Essays Professors, you'll know that leeches cure chronic skin diseases like scabies, psoriasis, eczematous dermatitis, chronic ulcers, ring worms, reddish freckles and favus. Phlebitis and thrombotic (blood clotting) conditions. To decrease the blood
78	7	2	AchtzigZwanzig	Hier gibt es leicht verdauliche Info-Häppchen.
79	8	2	Healthcare Tips	
80	8	2	Living Healthy	A range of articles on health issues, dental care, the body and more.
81	8	2	Healthy Living For Everyone	Interesting information about medicine, modern technologies and researches in healthcare and healthy lifestyle tips
82	8	2	Physician Wellness	In support of physician wellness at the personal, institutional and cultural levels in all stages of training and practice.
83	8	2	Pharma Industry News	Global pharmaceutical industry heavily relies on research projects for expanding its offerings among consumers. Continuous development of drug compounds, discovering new ones, establishing most effective routes of drug delivery after intensive clinical trials are
84	8	2	The Peek and Shriek Post	The Peek and Shriek Post is a healthcare blog founded by Mario Nacinovich. The blog offers original content and covers relevant and timely topics across the healthcare spectrum.
